organization_id,name,location,latitude,longitude,industry_id,description,siret
11,Burson-Marsteller i&e,,,,19,"Burson-Marsteller i&e est une agence conseil en Relations Publics au service des entreprises (des start-ups au CAC 40), des associations professionnelles, des marques françaises et internationales et des organismes publics. Elle développe un large champ d’interventions allant des études et du conseil stratégique au développement d’actions concrètes en relations médias et e-influenceurs (corporate, B2C et B2B) , affaires publiques, formation et communication de crise.

Le digital, les médias sociaux sont naturellement intégrés à chaque recommandation, à chaque plan d’actions.

Burson-Marsteller i&e réunit 120 collaborateurs aux parcours très divers (consultants, dircoms, journalistes, lobbyistes, membres de cabinets ministériels, community managers, créatifs, animateurs d’ONG..), dans un cadre très multiculturel (15 nationalités représentées, 11 langues parlées).

L’agence est organisée en 8 départements à “taille humaine” travaillant en étroite collaboration : Etudes/Planning stratégique; Corporate ; Marques et Lifestyle ; Crise/Affaires Publiques/Concertation ; Digital et Créations (bureau intégré). Dans les domaines de la Santé/Nutrition et des Technologies/Innovations, l’agence met à la disposition de ses clients des équipes dédiées de spécialistes sectoriels.",
34,Aspen RH,"21, rue Royale – 75008 Paris",,,20,"Aspen rh est un cabinet de recrutement de cadres et dirigeants. Nous intervenons sur l’ensemble des fonctions clés de l’entreprise : les fonctions opérationnelles, les fonctions supports et les fonctions du comité de direction dites «exécutives».

Notre équipe s’appuie sur de solides expériences opérationnelles et managériales acquises en entreprises et en cabinets de conseil.

Les nombreuses missions de recrutement conduites en France et à l’international nous permettent d’appréhender avec précision les enjeux de nos clients et de leurs secteurs d’activités : high-tech, services, conseil, digital / e-commerce, industrie et FMCG.

Notre mission : honorer la confiance de nos clients en portant leurs couleurs et leurs projets de recrutement en haut des sommets, ... là où se trouvent les meilleurs talents.

Venez ressourcer vos recrutements et carrières en partageant vos projets avec Aspen !",
65,LEROY MERLIN RHONE ALPES,,,,10,"Oser, expérimenter, tenter et se tromper, tenter à nouveau et réussir, fêter les victoires… et recommencer pour avancer et faire avancer l’entreprise !

Chez Leroy Merlin, l’autonomie est votre cadre. Pour cela, vos talents sont précieux, la prise d’initiative est votre état d’esprit. Elle s’exprime dans votre mission au quotidien, dans votre engagement, sur les projets qui vous tiennent à cœur mais aussi dans la construction de votre propre parcours professionnel…
Leroy Merlin, c’est aussi...
L’entreprise leader sur le marché de l’amélioration de l’habitat et du cadre de vie en France : 23 000 collaborateurs, 130 magasins ;
L’enseigne-phare d’ADEO : 90 000 collaborateurs répartis dans 13 pays et 15 enseignes, avec une forte ambition de croissance ;
Une entreprise présente depuis 13 ans au palmarès Great Place to Work.

La région Ile de France recherche un contrôleur de gestion junior ! 
",
108,Sogeti High Tech,,,,9,"Sogeti High Tech a développé un éventail d’expertises qui permet d’accompagner nos clients sur des projets de bout en bout. Notre expérience et la connaissance des métiers de nos clients sont sans cesse partagées au sein de notre département R&D pour anticiper les besoins et les usages industriels de demain. Nos thèmes de recherche portent sur l’Usine du Futur, depuis le bureau d’étude, jusqu’à la transformation digitale des environnements de production, leur mise en service et leur démantèlement. Cet incubateur d’innovations est pleinement intégré au programme Applied Innovation Exchange de Capgemini pour faire bénéficier à nos clients d’innovations utiles, efficaces, mesurables et industrialisables.  

Nous avons l’ambition de garantir à nos clients un niveau d’exigence et d’expertise élevé. Pour cela, nous avons à cœur de recruter des femmes et des hommes passionnés, à fort potentiel et dotés de fortes relations humaines.  Chez Sogeti High Tech, l’innovation technologique est à la fois un savoir-faire et un modèle de collaboration durable avec nos clients.",
361,Apsynth Publishing,"Boulogne-Billancourt, France",48.839695,2.2399123,17,"apsynth est l’agence web basée à Boulogne Billancourt spécialisée dans le développement et le conseil en technologie web. Notre équipe vous propose son expertise dans les dernières technologies pour tous vos projets innovants: création d’applications, refonte de sites internet, logiciels métier, tierce maintenance applicative, etc.",
402,Karbone,,,,9,"Karbone est un cabinet de conseil en organisation et système d’information financier. Il s’agit d’une structure à taille humaine qui connaît une belle croissance, puisque son chiffre d’affaires a augmenté de 30% depuis 2015. Nos consultants apportent leur expertise notamment sur les métiers du management de projet et de la conduite du changement. Nos clients sont principalement des grandes banques internationales, classées pour la plupart parmi les meilleures banques d’affaires en France ",
666,FRICHTI ,,,,17,"On cuisine ou on Frichti ?
Frichti, c’est pour ceux qui ont parfois (ou tous les jours) marre de n’avoir rien dans le frigo en rentrant du boulot, de commander éternellement les même sushi ou même de cuisiner quand on en avait pas envie.

Alors imaginez qu’ensemble, on embauche un chef qui nous fait dès qu’on le veut un bon petit plat maison ou même qui nous déniche une bonne bouteille de vin. C’est le pari de Frichti, vous permettre de ne plus vous casser la tête et de faire de vos repas non seulement la chose la plus simple du monde mais aussi de vrais moments de gourmandise.

C'est un ""traiteur de tous les jours""​ qui a pour mission de permettre à tous ceux qui veulent bien manger mais qui n'ont pas le temps de cuisiner de le faire. Nous avons le gout des bons produits, l'amour de la cuisine bien faite et le désir de simplifier la vie de nos clients. 
Notre distribution est 100% web (commande sur notre site ou sur mobile).
",
677,CONVERTEO,,,,9,"Converteo est un cabinet de conseil spécialiste du Digital et de la Data. Notre équipe de 80 consultants aide ses clients à évoluer avec agilité dans l’ère du marketing digitalisé et data-driven. 
Travaillant sur des missions d’accompagnement ponctuelles ou continues, Converteo assiste ses clients dans l'optimisation des parcours client, de la performance média/CRM et des offres de produits et services, grâce à son expertise en Big Data et Data Science.
Converteo intervient sur l’ensemble de la chaîne de valeur de la data, de la collecte à l’activation et passant par la modélisation. Le cabinet a développé une connaissance pointue des solutions technologiques du marché visant à améliorer la performance marketing : data management platforms, datalakes, analytics, testing, e-merchandising, attribution, … 
L’entreprise se positionne en tant que bras droit de ses clients sur des projets data à la confluence entre le métier et la technologie, et intervient pour des Grands Comptes et ETI.
",
699,DigitasLbi,"34 Rue du Chemin Vert, Paris, France",48.8580496,2.3733548,19,"Le réseau DigitasLBi accompagne les plus grandes marques internationales dans leur digitalisation et leurs innovations technologiques: Nissan, L’Oréal, LVMH, American Express, Coca-Cola, eBay, Starbucks, Johnson & Johnson, Groupe La Poste, Renault, Intermarché, P&G. ",
751,WeScale,,,,16,"WeScale en quelques mots, c’est à la fois une start-up et une société de conseil, dédiée au cloud computing.
Nous avons une équipe de folie, uniquement des passionnés (chacun par ses sujets, que ce soit technique ou RH).
Si vous pensez rentrer dans ce modèle, n'hésitez pas, postulez !",
