recruiter_id,industry_id,organization_id
64,20.0,4670
2588,7.0,6467
2859,,2139
3184,17.0,5072
3721,,1583
4296,,1073
6216,17.0,4214
6247,24.0,2714
6451,17.0,2948
6611,10.0,12319
6957,16.0,2756
7865,19.0,1537
8033,17.0,4380
8099,16.0,4231
8410,,5049
9551,,1293
10440,,5127
10598,10.0,6781
10644,,677
10647,,2899
10960,,7913
11019,19.0,11
11074,18.0,2491
11097,6.0,4809
11154,,2047
11201,,3738
11320,16.0,751
11420,,1776
11548,17.0,2973
11634,5.0,1326
11637,24.0,4333
11665,,2475
11763,,1278
11769,17.0,1870
11879,,1640
11882,,1608
12051,,4106
12095,,9705
12197,17.0,361
12341,9.0,34
12348,17.0,4934
12389,17.0,4597
12401,20.0,2924
12406,6.0,1105
12772,16.0,2964
14567,9.0,2398
14968,9.0,402
15105,,12015
15110,,12017
15111,,12018
15121,,12023
15125,,5681
15128,,12027
15134,,12031
15150,,12039
15155,,12042
15162,,12046
15192,,12051
15204,,12060
15208,,12062
15223,,12066
15237,,12073
15243,,12076
15279,,12083
15282,,4920
15312,,12096
15328,,12099
15339,12.0,2258
15374,19.0,699
15415,,12114
15561,,12138
15563,,12139
15599,16.0,2964
15624,9.0,2304
15757,,12172
15781,,12176
15802,1.0,2708
15804,17.0,3870
15806,,12178
15809,,12180
15818,10.0,3984
15888,,4457
15899,,12204
15904,6.0,5603
15907,,2481
15919,,5626
15938,17.0,1290
15968,,12211
16019,,5683
16029,17.0,5705
16255,1.0,5871
16606,,6167
16646,19.0,6202
16742,,6286
17010,,1042
17024,,1305
17074,,6559
17138,20.0,6610
17162,,6630
17317,5.0,6734
17320,,6737
17436,,6705
17551,9.0,6925
17584,,6950
17602,,6965
17617,,6978
17635,,6995
17650,,6581
17685,16.0,3033
17714,20.0,7058
17748,16.0,1524
17754,,7089
17823,,7142
17856,16.0,108
17904,,7205
17912,,7210
17918,,7216
17933,,7226
17934,17.0,6836
17945,17.0,3482
17950,5.0,7241
17989,,7277
18133,,7392
18139,,7397
18165,19.0,7418
18170,16.0,7423
18172,16.0,5075
18206,,7453
18224,21.0,7467
18296,10.0,7140
18310,6.0,3170
18345,,7560
18347,,7562
18373,17.0,666
18446,20.0,7639
18589,17.0,3654
18592,17.0,3654
18651,,5617
18694,,7841
18738,17.0,7877
18742,,7879
18744,15.0,2106
18746,15.0,2106
18790,,7919
18822,15.0,2919
18849,,7963
18882,24.0,7990
18903,17.0,8004
18925,16.0,1524
18950,,8039
18969,,8054
19016,,8089
19070,,8132
19088,,8146
19122,9.0,8175
19138,7.0,8187
19181,,8219
19187,,8223
19275,7.0,797
19336,20.0,915
19340,7.0,2074
19417,,8396
19478,17.0,2973
19480,,3715
19526,19.0,1611
19548,17.0,2298
19578,,7446
19793,20.0,4214
19835,17.0,8765
19855,1.0,8785
19868,,8798
19884,13.0,8814
19996,5.0,8926
20039,,8969
20044,15.0,65
20053,17.0,2298
20063,,8992
20123,10.0,9052
20152,18.0,9081
20159,,9088
20179,,9108
20199,,9128
20214,20.0,2924
20232,8.0,9160
20237,,9165
